month_year,district_lgd_code,pincode,age_0_5,age_5_17,age_18_greater,district_label,state
Dec-25,473,442907,61,5,0,Chandrapur,Maharashtra
Dec-25,473,442908,30,3,0,Chandrapur,Maharashtra
Dec-25,473,442914,10,0,0,Chandrapur,Maharashtra
Dec-25,473,442916,16,1,0,Chandrapur,Maharashtra
Dec-25,473,442917,5,0,0,Chandrapur,Maharashtra
Dec-25,474,424001,135,28,0,Dhule,Maharashtra
Dec-25,474,424002,59,18,1,Dhule,Maharashtra
Dec-25,474,424004,2,0,0,Dhule,Maharashtra
Dec-25,474,424005,23,5,0,Dhule,Maharashtra
Dec-25,474,424006,12,4,0,Dhule,Maharashtra
Dec-25,474,424301,21,5,1,Dhule,Maharashtra
Dec-25,474,424302,20,10,0,Dhule,Maharashtra
Dec-25,474,424303,12,3,1,Dhule,Maharashtra
Dec-25,474,424304,82,22,0,Dhule,Maharashtra
Dec-25,474,424305,29,8,0,Dhule,Maharashtra
Dec-25,474,424306,70,10,0,Dhule,Maharashtra
Dec-25,474,424307,37,4,0,Dhule,Maharashtra
Dec-25,474,424308,17,1,3,Dhule,Maharashtra
Dec-25,474,424309,12,5,0,Dhule,Maharashtra
Dec-25,474,424310,13,0,0,Dhule,Maharashtra
Dec-25,474,424311,27,10,1,Dhule,Maharashtra
Dec-25,474,424318,17,0,0,Dhule,Maharashtra
Dec-25,474,425403,6,1,0,Dhule,Maharashtra
Dec-25,474,425404,11,1,0,Dhule,Maharashtra
Dec-25,474,425405,115,64,0,Dhule,Maharashtra
Dec-25,474,425406,26,5,1,Dhule,Maharashtra
Dec-25,474,425407,13,5,0,Dhule,Maharashtra
Dec-25,474,425408,67,18,1,Dhule,Maharashtra
Dec-25,474,425421,17,1,0,Dhule,Maharashtra
Dec-25,474,425427,12,5,0,Dhule,Maharashtra
Dec-25,474,425428,47,16,0,Dhule,Maharashtra
Dec-25,475,441207,35,0,0,Gadchiroli,Maharashtra
Dec-25,475,441208,21,0,0,Gadchiroli,Maharashtra
Dec-25,475,441209,54,1,0,Gadchiroli,Maharashtra
Dec-25,475,441217,16,1,0,Gadchiroli,Maharashtra
Dec-25,475,442504,25,4,0,Gadchiroli,Maharashtra
Dec-25,475,442603,63,0,1,Gadchiroli,Maharashtra
Dec-25,475,442604,21,1,0,Gadchiroli,Maharashtra
Dec-25,475,442605,49,0,1,Gadchiroli,Maharashtra
Dec-25,475,442606,37,5,0,Gadchiroli,Maharashtra
Dec-25,475,442703,9,0,0,Gadchiroli,Maharashtra
Dec-25,475,442704,46,6,0,Gadchiroli,Maharashtra
Dec-25,475,442705,33,2,0,Gadchiroli,Maharashtra
Dec-25,475,442707,52,2,0,Gadchiroli,Maharashtra
Dec-25,475,442709,59,5,0,Gadchiroli,Maharashtra
Dec-25,475,442710,55,19,0,Gadchiroli,Maharashtra
Dec-25,476,441601,121,6,0,Gondia,Maharashtra
Dec-25,476,441614,93,2,0,Gondia,Maharashtra
Dec-25,476,441701,15,0,3,Gondia,Maharashtra
Dec-25,476,441702,35,0,0,Gondia,Maharashtra
Dec-25,476,441801,44,1,0,Gondia,Maharashtra
Dec-25,476,441806,23,0,0,Gondia,Maharashtra
Dec-25,476,441807,46,0,0,Gondia,Maharashtra
Dec-25,476,441901,38,1,0,Gondia,Maharashtra
Dec-25,476,441902,34,0,0,Gondia,Maharashtra
Dec-25,476,441911,81,1,0,Gondia,Maharashtra
Dec-25,476,441916,21,0,0,Gondia,Maharashtra
Dec-25,477,431509,104,9,0,Hingoli,Maharashtra
Dec-25,477,431512,82,8,0,Hingoli,Maharashtra
Dec-25,477,431513,152,12,3,Hingoli,Maharashtra
Dec-25,477,431542,48,7,2,Hingoli,Maharashtra
Dec-25,477,431701,44,3,0,Hingoli,Maharashtra
Dec-25,477,431702,75,8,1,Hingoli,Maharashtra
Dec-25,477,431703,28,2,0,Hingoli,Maharashtra
Dec-25,477,431705,79,8,0,Hingoli,Maharashtra
Dec-25,477,431712,78,5,1,Hingoli,Maharashtra
Dec-25,478,424101,93,7,0,Jalgaon,Maharashtra
Dec-25,478,424102,5,2,0,Jalgaon,Maharashtra
Dec-25,478,424103,18,1,0,Jalgaon,Maharashtra
Dec-25,478,424104,15,4,0,Jalgaon,Maharashtra
Dec-25,478,424105,30,0,0,Jalgaon,Maharashtra
Dec-25,478,424106,21,1,0,Jalgaon,Maharashtra
Dec-25,478,424107,5,0,0,Jalgaon,Maharashtra
Dec-25,478,424108,11,1,0,Jalgaon,Maharashtra
Dec-25,478,424116,16,0,0,Jalgaon,Maharashtra
Dec-25,478,424201,54,8,1,Jalgaon,Maharashtra
Dec-25,478,424202,13,5,0,Jalgaon,Maharashtra
Dec-25,478,424203,17,0,0,Jalgaon,Maharashtra
Dec-25,478,424204,19,0,0,Jalgaon,Maharashtra
Dec-25,478,424205,25,1,0,Jalgaon,Maharashtra
Dec-25,478,424206,57,7,1,Jalgaon,Maharashtra
Dec-25,478,424207,15,0,0,Jalgaon,Maharashtra
Dec-25,478,424209,23,2,0,Jalgaon,Maharashtra
Dec-25,478,425001,149,19,17,Jalgaon,Maharashtra
Dec-25,478,425002,48,4,9,Jalgaon,Maharashtra
Dec-25,478,425003,26,2,1,Jalgaon,Maharashtra
Dec-25,478,425101,6,0,0,Jalgaon,Maharashtra
Dec-25,478,425102,3,0,0,Jalgaon,Maharashtra
Dec-25,478,425103,30,0,0,Jalgaon,Maharashtra
Dec-25,478,425104,9,1,0,Jalgaon,Maharashtra
Dec-25,478,425105,39,4,0,Jalgaon,Maharashtra
Dec-25,478,425107,88,23,1,Jalgaon,Maharashtra
Dec-25,478,425108,14,1,0,Jalgaon,Maharashtra
Dec-25,478,425109,26,1,0,Jalgaon,Maharashtra
Dec-25,478,425110,14,1,0,Jalgaon,Maharashtra
Dec-25,478,425111,72,10,1,Jalgaon,Maharashtra
Dec-25,478,425113,4,0,0,Jalgaon,Maharashtra
Dec-25,478,425114,18,0,0,Jalgaon,Maharashtra
Dec-25,478,425115,21,0,0,Jalgaon,Maharashtra
Dec-25,478,425116,16,1,0,Jalgaon,Maharashtra
Dec-25,478,425127,23,1,0,Jalgaon,Maharashtra
Dec-25,478,425201,49,5,1,Jalgaon,Maharashtra
Dec-25,478,425203,7,0,0,Jalgaon,Maharashtra
Dec-25,478,425301,24,4,0,Jalgaon,Maharashtra
Dec-25,478,425302,23,2,0,Jalgaon,Maharashtra
Dec-25,478,425303,22,2,1,Jalgaon,Maharashtra
Dec-25,478,425304,13,0,0,Jalgaon,Maharashtra
Dec-25,478,425305,25,3,0,Jalgaon,Maharashtra
Dec-25,478,425306,62,4,0,Jalgaon,Maharashtra
Dec-25,478,425307,13,1,0,Jalgaon,Maharashtra
Dec-25,478,425308,2,0,0,Jalgaon,Maharashtra
Dec-25,478,425309,11,1,0,Jalgaon,Maharashtra
Dec-25,478,425310,44,2,0,Jalgaon,Maharashtra
Dec-25,478,425311,13,0,0,Jalgaon,Maharashtra
Dec-25,478,425401,75,9,0,Jalgaon,Maharashtra
Dec-25,478,425402,6,0,0,Jalgaon,Maharashtra
Dec-25,478,425420,5,0,0,Jalgaon,Maharashtra
Dec-25,478,425501,5,0,0,Jalgaon,Maharashtra
Dec-25,478,425502,17,0,0,Jalgaon,Maharashtra
Dec-25,478,425503,37,9,0,Jalgaon,Maharashtra
Dec-25,478,425504,17,1,1,Jalgaon,Maharashtra
Dec-25,478,425505,4,0,0,Jalgaon,Maharashtra
Dec-25,478,425506,6,0,0,Jalgaon,Maharashtra
Dec-25,478,425507,11,0,0,Jalgaon,Maharashtra
Dec-25,478,425508,99,10,1,Jalgaon,Maharashtra
Dec-25,478,425524,2,1,0,Jalgaon,Maharashtra
Dec-25,479,431007,2,0,0,Jalna,Maharashtra
Dec-25,479,431112,118,20,0,Jalna,Maharashtra
Dec-25,479,431114,96,5,0,Jalna,Maharashtra
Dec-25,479,431117,1,0,0,Jalna,Maharashtra
Dec-25,479,431121,55,12,1,Jalna,Maharashtra
Dec-25,479,431132,38,1,0,Jalna,Maharashtra
Dec-25,479,431134,32,1,0,Jalna,Maharashtra
Dec-25,479,431135,49,3,0,Jalna,Maharashtra
Dec-25,479,431137,15,0,0,Jalna,Maharashtra
Dec-25,479,431202,55,8,0,Jalna,Maharashtra
Dec-25,479,431203,184,25,1,Jalna,Maharashtra
Dec-25,479,431204,59,7,1,Jalna,Maharashtra
Dec-25,479,431205,17,1,0,Jalna,Maharashtra
Dec-25,479,431206,49,4,0,Jalna,Maharashtra
Dec-25,479,431207,31,6,0,Jalna,Maharashtra
Dec-25,479,431208,28,0,0,Jalna,Maharashtra
Dec-25,479,431209,27,3,0,Jalna,Maharashtra
Dec-25,479,431211,30,4,0,Jalna,Maharashtra
Dec-25,479,431212,21,3,0,Jalna,Maharashtra
Dec-25,479,431213,100,10,0,Jalna,Maharashtra
Dec-25,479,431501,57,11,0,Jalna,Maharashtra
Dec-25,479,431502,15,1,0,Jalna,Maharashtra
Dec-25,479,431503,64,5,8,Jalna,Maharashtra
Dec-25,479,431504,50,5,0,Jalna,Maharashtra
Dec-25,479,431507,14,2,0,Jalna,Maharashtra
Dec-25,480,415101,16,0,0,Kolhapur,Maharashtra
Dec-25,480,416001,42,3,0,Kolhapur,Maharashtra
Dec-25,480,416002,16,1,0,Kolhapur,Maharashtra
Dec-25,480,416003,17,2,0,Kolhapur,Maharashtra
Dec-25,480,416004,7,2,0,Kolhapur,Maharashtra
Dec-25,480,416005,24,5,0,Kolhapur,Maharashtra
Dec-25,480,416006,16,5,0,Kolhapur,Maharashtra
Dec-25,480,416007,18,4,0,Kolhapur,Maharashtra
Dec-25,480,416008,16,2,0,Kolhapur,Maharashtra
Dec-25,480,416010,24,5,0,Kolhapur,Maharashtra
Dec-25,480,416011,1,0,0,Kolhapur,Maharashtra
Dec-25,480,416012,44,4,0,Kolhapur,Maharashtra
Dec-25,480,416013,29,2,0,Kolhapur,Maharashtra
Dec-25,480,416101,49,1,0,Kolhapur,Maharashtra
Dec-25,480,416102,7,0,0,Kolhapur,Maharashtra
Dec-25,480,416103,16,3,0,Kolhapur,Maharashtra
Dec-25,480,416104,5,2,0,Kolhapur,Maharashtra
Dec-25,480,416105,5,0,0,Kolhapur,Maharashtra
Dec-25,480,416106,15,2,0,Kolhapur,Maharashtra
Dec-25,480,416107,6,0,0,Kolhapur,Maharashtra
Dec-25,480,416108,2,0,0,Kolhapur,Maharashtra
Dec-25,480,416109,28,3,0,Kolhapur,Maharashtra
Dec-25,480,416110,9,1,0,Kolhapur,Maharashtra
Dec-25,480,416111,9,0,0,Kolhapur,Maharashtra
Dec-25,480,416112,43,13,0,Kolhapur,Maharashtra
Dec-25,480,416113,12,0,0,Kolhapur,Maharashtra
Dec-25,480,416114,19,1,0,Kolhapur,Maharashtra
Dec-25,480,416115,62,3,0,Kolhapur,Maharashtra
Dec-25,480,416116,27,1,0,Kolhapur,Maharashtra
Dec-25,480,416117,1,0,0,Kolhapur,Maharashtra
Dec-25,480,416118,14,0,0,Kolhapur,Maharashtra
Dec-25,480,416119,28,2,0,Kolhapur,Maharashtra
Dec-25,480,416120,6,0,0,Kolhapur,Maharashtra
Dec-25,480,416121,15,3,0,Kolhapur,Maharashtra
Dec-25,480,416122,15,2,0,Kolhapur,Maharashtra
Dec-25,480,416143,10,0,0,Kolhapur,Maharashtra
Dec-25,480,416146,1,0,0,Kolhapur,Maharashtra
Dec-25,480,416201,6,0,0,Kolhapur,Maharashtra
Dec-25,480,416202,21,1,0,Kolhapur,Maharashtra
Dec-25,480,416203,12,2,0,Kolhapur,Maharashtra
Dec-25,480,416204,11,1,0,Kolhapur,Maharashtra
Dec-25,480,416205,37,1,0,Kolhapur,Maharashtra
Dec-25,480,416206,12,0,0,Kolhapur,Maharashtra
Dec-25,480,416207,11,0,0,Kolhapur,Maharashtra
Dec-25,480,416208,25,0,0,Kolhapur,Maharashtra
Dec-25,480,416209,23,1,0,Kolhapur,Maharashtra
Dec-25,480,416210,16,1,0,Kolhapur,Maharashtra
Dec-25,480,416211,37,2,0,Kolhapur,Maharashtra
Dec-25,480,416212,18,2,0,Kolhapur,Maharashtra
Dec-25,480,416213,15,0,0,Kolhapur,Maharashtra
Dec-25,480,416214,10,1,0,Kolhapur,Maharashtra
Dec-25,480,416215,10,0,0,Kolhapur,Maharashtra
Dec-25,480,416216,27,1,0,Kolhapur,Maharashtra
Dec-25,480,416218,11,0,0,Kolhapur,Maharashtra
Dec-25,480,416219,22,2,0,Kolhapur,Maharashtra
Dec-25,480,416220,6,1,0,Kolhapur,Maharashtra
Dec-25,480,416221,12,0,0,Kolhapur,Maharashtra
Dec-25,480,416223,9,0,0,Kolhapur,Maharashtra
Dec-25,480,416229,22,1,0,Kolhapur,Maharashtra
