month_year,district_lgd_code,pincode,bio_age_5_17,bio_age_17_,district_label,state
Apr-25,475,442605,443,974,Gadchiroli,Maharashtra
Apr-25,475,442606,148,601,Gadchiroli,Maharashtra
Apr-25,475,442703,64,157,Gadchiroli,Maharashtra
Apr-25,475,442704,293,645,Gadchiroli,Maharashtra
Apr-25,475,442705,197,541,Gadchiroli,Maharashtra
Apr-25,475,442707,296,986,Gadchiroli,Maharashtra
Apr-25,475,442709,70,276,Gadchiroli,Maharashtra
Apr-25,475,442710,149,302,Gadchiroli,Maharashtra
Apr-25,476,441601,1534,1420,Gondia,Maharashtra
Apr-25,476,441614,532,670,Gondia,Maharashtra
Apr-25,476,441701,183,298,Gondia,Maharashtra
Apr-25,476,441801,263,377,Gondia,Maharashtra
Apr-25,476,441806,125,289,Gondia,Maharashtra
Apr-25,476,441807,200,422,Gondia,Maharashtra
Apr-25,476,441901,338,628,Gondia,Maharashtra
Apr-25,476,441902,401,526,Gondia,Maharashtra
Apr-25,476,441911,262,498,Gondia,Maharashtra
Apr-25,476,441916,233,258,Gondia,Maharashtra
Apr-25,477,431509,1356,2461,Hingoli,Maharashtra
Apr-25,477,431512,570,1140,Hingoli,Maharashtra
Apr-25,477,431513,1496,2750,Hingoli,Maharashtra
Apr-25,477,431542,184,611,Hingoli,Maharashtra
Apr-25,477,431701,530,946,Hingoli,Maharashtra
Apr-25,477,431703,121,344,Hingoli,Maharashtra
Apr-25,477,431705,494,1241,Hingoli,Maharashtra
Apr-25,477,431712,890,1357,Hingoli,Maharashtra
Apr-25,478,424101,709,1556,Jalgaon,Maharashtra
Apr-25,478,424102,50,185,Jalgaon,Maharashtra
Apr-25,478,424103,127,295,Jalgaon,Maharashtra
Apr-25,478,424104,144,510,Jalgaon,Maharashtra
Apr-25,478,424105,242,722,Jalgaon,Maharashtra
Apr-25,478,424106,418,1000,Jalgaon,Maharashtra
Apr-25,478,424107,27,100,Jalgaon,Maharashtra
Apr-25,478,424108,132,358,Jalgaon,Maharashtra
Apr-25,478,424116,117,298,Jalgaon,Maharashtra
Apr-25,478,424201,275,855,Jalgaon,Maharashtra
Apr-25,478,424202,119,250,Jalgaon,Maharashtra
Apr-25,478,424203,110,166,Jalgaon,Maharashtra
Apr-25,478,424204,210,306,Jalgaon,Maharashtra
Apr-25,478,424205,388,534,Jalgaon,Maharashtra
Apr-25,478,424206,606,792,Jalgaon,Maharashtra
Apr-25,478,424207,229,270,Jalgaon,Maharashtra
Apr-25,478,424209,105,348,Jalgaon,Maharashtra
Apr-25,478,425001,1016,1576,Jalgaon,Maharashtra
Apr-25,478,425002,324,725,Jalgaon,Maharashtra
Apr-25,478,425003,98,285,Jalgaon,Maharashtra
Apr-25,478,425101,67,57,Jalgaon,Maharashtra
Apr-25,478,425102,10,42,Jalgaon,Maharashtra
Apr-25,478,425103,340,874,Jalgaon,Maharashtra
Apr-25,478,425104,50,140,Jalgaon,Maharashtra
Apr-25,478,425105,203,410,Jalgaon,Maharashtra
Apr-25,478,425107,2280,2728,Jalgaon,Maharashtra
Apr-25,478,425108,103,170,Jalgaon,Maharashtra
Apr-25,478,425109,294,610,Jalgaon,Maharashtra
Apr-25,478,425110,247,445,Jalgaon,Maharashtra
Apr-25,478,425111,387,1109,Jalgaon,Maharashtra
Apr-25,478,425112,19,26,Jalgaon,Maharashtra
Apr-25,478,425113,46,125,Jalgaon,Maharashtra
Apr-25,478,425114,172,398,Jalgaon,Maharashtra
Apr-25,478,425115,66,120,Jalgaon,Maharashtra
Apr-25,478,425127,284,738,Jalgaon,Maharashtra
Apr-25,478,425201,446,620,Jalgaon,Maharashtra
Apr-25,478,425203,56,140,Jalgaon,Maharashtra
Apr-25,478,425301,698,1320,Jalgaon,Maharashtra
Apr-25,478,425302,455,673,Jalgaon,Maharashtra
Apr-25,478,425303,284,378,Jalgaon,Maharashtra
Apr-25,478,425304,68,169,Jalgaon,Maharashtra
Apr-25,478,425305,158,458,Jalgaon,Maharashtra
Apr-25,478,425306,331,1390,Jalgaon,Maharashtra
Apr-25,478,425307,53,72,Jalgaon,Maharashtra
Apr-25,478,425308,17,41,Jalgaon,Maharashtra
Apr-25,478,425309,180,180,Jalgaon,Maharashtra
Apr-25,478,425310,301,667,Jalgaon,Maharashtra
Apr-25,478,425311,60,151,Jalgaon,Maharashtra
Apr-25,478,425401,550,1418,Jalgaon,Maharashtra
Apr-25,478,425402,23,108,Jalgaon,Maharashtra
Apr-25,478,425420,29,99,Jalgaon,Maharashtra
Apr-25,478,425501,48,104,Jalgaon,Maharashtra
Apr-25,478,425502,168,502,Jalgaon,Maharashtra
Apr-25,478,425503,195,386,Jalgaon,Maharashtra
Apr-25,478,425504,98,249,Jalgaon,Maharashtra
Apr-25,478,425505,19,77,Jalgaon,Maharashtra
Apr-25,478,425506,34,107,Jalgaon,Maharashtra
Apr-25,478,425507,93,193,Jalgaon,Maharashtra
Apr-25,478,425524,70,74,Jalgaon,Maharashtra
Apr-25,479,431112,1144,1971,Jalna,Maharashtra
Apr-25,479,431114,430,718,Jalna,Maharashtra
Apr-25,479,431121,116,311,Jalna,Maharashtra
Apr-25,479,431132,141,349,Jalna,Maharashtra
Apr-25,479,431134,94,184,Jalna,Maharashtra
Apr-25,479,431135,304,785,Jalna,Maharashtra
Apr-25,479,431137,125,339,Jalna,Maharashtra
Apr-25,479,431202,297,771,Jalna,Maharashtra
Apr-25,479,431203,2302,4398,Jalna,Maharashtra
Apr-25,479,431204,212,746,Jalna,Maharashtra
Apr-25,479,431205,41,115,Jalna,Maharashtra
Apr-25,479,431206,263,500,Jalna,Maharashtra
Apr-25,479,431207,202,608,Jalna,Maharashtra
Apr-25,479,431208,396,654,Jalna,Maharashtra
Apr-25,479,431209,262,868,Jalna,Maharashtra
Apr-25,479,431211,176,619,Jalna,Maharashtra
Apr-25,479,431212,91,192,Jalna,Maharashtra
Apr-25,479,431213,571,1203,Jalna,Maharashtra
Apr-25,479,431501,210,626,Jalna,Maharashtra
Apr-25,479,431502,98,128,Jalna,Maharashtra
Apr-25,479,431503,765,1185,Jalna,Maharashtra
Apr-25,479,431504,211,660,Jalna,Maharashtra
Apr-25,479,431507,61,107,Jalna,Maharashtra
Apr-25,480,415101,208,199,Kolhapur,Maharashtra
Apr-25,480,416001,1340,880,Kolhapur,Maharashtra
Apr-25,480,416002,430,574,Kolhapur,Maharashtra
Apr-25,480,416003,263,320,Kolhapur,Maharashtra
Apr-25,480,416004,94,79,Kolhapur,Maharashtra
Apr-25,480,416005,417,384,Kolhapur,Maharashtra
Apr-25,480,416006,182,322,Kolhapur,Maharashtra
Apr-25,480,416007,142,141,Kolhapur,Maharashtra
Apr-25,480,416008,275,268,Kolhapur,Maharashtra
Apr-25,480,416010,232,253,Kolhapur,Maharashtra
Apr-25,480,416012,468,587,Kolhapur,Maharashtra
Apr-25,480,416013,181,112,Kolhapur,Maharashtra
Apr-25,480,416101,299,431,Kolhapur,Maharashtra
Apr-25,480,416102,67,208,Kolhapur,Maharashtra
Apr-25,480,416103,56,112,Kolhapur,Maharashtra
Apr-25,480,416104,55,66,Kolhapur,Maharashtra
Apr-25,480,416105,38,30,Kolhapur,Maharashtra
Apr-25,480,416106,94,130,Kolhapur,Maharashtra
Apr-25,480,416107,62,74,Kolhapur,Maharashtra
Apr-25,480,416108,29,23,Kolhapur,Maharashtra
Apr-25,480,416109,354,427,Kolhapur,Maharashtra
Apr-25,480,416110,45,98,Kolhapur,Maharashtra
Apr-25,480,416111,265,117,Kolhapur,Maharashtra
Apr-25,480,416112,606,788,Kolhapur,Maharashtra
Apr-25,480,416113,109,123,Kolhapur,Maharashtra
Apr-25,480,416114,99,158,Kolhapur,Maharashtra
Apr-25,480,416115,676,1570,Kolhapur,Maharashtra
Apr-25,480,416116,404,417,Kolhapur,Maharashtra
Apr-25,480,416117,19,58,Kolhapur,Maharashtra
Apr-25,480,416118,159,201,Kolhapur,Maharashtra
Apr-25,480,416120,116,112,Kolhapur,Maharashtra
Apr-25,480,416121,192,323,Kolhapur,Maharashtra
Apr-25,480,416122,466,367,Kolhapur,Maharashtra
Apr-25,480,416143,38,86,Kolhapur,Maharashtra
Apr-25,480,416146,39,40,Kolhapur,Maharashtra
Apr-25,480,416201,21,39,Kolhapur,Maharashtra
Apr-25,480,416202,246,245,Kolhapur,Maharashtra
Apr-25,480,416203,468,526,Kolhapur,Maharashtra
Apr-25,480,416204,142,75,Kolhapur,Maharashtra
Apr-25,480,416205,317,491,Kolhapur,Maharashtra
Apr-25,480,416206,212,120,Kolhapur,Maharashtra
Apr-25,480,416208,119,147,Kolhapur,Maharashtra
Apr-25,480,416209,942,598,Kolhapur,Maharashtra
Apr-25,480,416210,226,144,Kolhapur,Maharashtra
Apr-25,480,416211,335,347,Kolhapur,Maharashtra
Apr-25,480,416212,177,220,Kolhapur,Maharashtra
Apr-25,480,416213,322,272,Kolhapur,Maharashtra
Apr-25,480,416214,281,298,Kolhapur,Maharashtra
Apr-25,480,416215,39,43,Kolhapur,Maharashtra
Apr-25,480,416216,448,286,Kolhapur,Maharashtra
Apr-25,480,416218,422,290,Kolhapur,Maharashtra
Apr-25,480,416219,216,274,Kolhapur,Maharashtra
Apr-25,480,416221,217,172,Kolhapur,Maharashtra
Apr-25,480,416223,308,178,Kolhapur,Maharashtra
Apr-25,480,416229,215,271,Kolhapur,Maharashtra
Apr-25,480,416230,106,168,Kolhapur,Maharashtra
Apr-25,480,416231,20,18,Kolhapur,Maharashtra
Apr-25,480,416232,105,65,Kolhapur,Maharashtra
Apr-25,480,416234,216,129,Kolhapur,Maharashtra
Apr-25,480,416235,219,166,Kolhapur,Maharashtra
Apr-25,480,416236,69,74,Kolhapur,Maharashtra
Apr-25,480,416501,77,169,Kolhapur,Maharashtra
Apr-25,480,416502,416,706,Kolhapur,Maharashtra
Apr-25,480,416503,52,102,Kolhapur,Maharashtra
Apr-25,480,416504,161,158,Kolhapur,Maharashtra
Apr-25,480,416505,462,265,Kolhapur,Maharashtra
Apr-25,480,416506,89,156,Kolhapur,Maharashtra
Apr-25,480,416507,418,622,Kolhapur,Maharashtra
Apr-25,480,416508,124,162,Kolhapur,Maharashtra
Apr-25,480,416509,342,396,Kolhapur,Maharashtra
Apr-25,480,416526,176,148,Kolhapur,Maharashtra
Apr-25,480,416551,63,103,Kolhapur,Maharashtra
Apr-25,480,416552,83,97,Kolhapur,Maharashtra
Apr-25,481,413510,153,454,Latur,Maharashtra
Apr-25,481,413511,423,931,Latur,Maharashtra
Apr-25,481,413512,3398,4908,Latur,Maharashtra
Apr-25,481,413513,257,555,Latur,Maharashtra
Apr-25,481,413515,412,651,Latur,Maharashtra
Apr-25,481,413516,221,597,Latur,Maharashtra
Apr-25,481,413517,903,1894,Latur,Maharashtra
Apr-25,481,413518,149,722,Latur,Maharashtra
Apr-25,481,413519,283,553,Latur,Maharashtra
Apr-25,481,413520,565,1598,Latur,Maharashtra
Apr-25,481,413521,527,2152,Latur,Maharashtra
Apr-25,481,413522,158,702,Latur,Maharashtra
Apr-25,481,413523,174,376,Latur,Maharashtra
Apr-25,481,413524,137,199,Latur,Maharashtra
Apr-25,481,413527,544,3018,Latur,Maharashtra
Apr-25,481,413529,135,299,Latur,Maharashtra
Apr-25,481,413530,264,1940,Latur,Maharashtra
Apr-25,481,413531,848,2091,Latur,Maharashtra
Apr-25,481,413532,222,1122,Latur,Maharashtra
Apr-25,481,413544,522,848,Latur,Maharashtra
Apr-25,481,413581,51,64,Latur,Maharashtra
Apr-25,481,413607,141,760,Latur,Maharashtra
Apr-25,481,431522,91,322,Latur,Maharashtra
Apr-25,482,400001,64,196,Mumbai,Maharashtra
Apr-25,482,400002,120,211,Mumbai,Maharashtra
Apr-25,482,400003,147,229,Mumbai,Maharashtra
Apr-25,482,400004,206,315,Mumbai,Maharashtra
Apr-25,482,400005,287,430,Mumbai,Maharashtra
Apr-25,482,400006,79,187,Mumbai,Maharashtra
Apr-25,482,400007,87,161,Mumbai,Maharashtra
Apr-25,482,400008,281,555,Mumbai,Maharashtra
Apr-25,482,400009,152,248,Mumbai,Maharashtra
Apr-25,482,400010,221,325,Mumbai,Maharashtra
Apr-25,482,400011,210,417,Mumbai,Maharashtra
Apr-25,482,400012,331,782,Mumbai,Maharashtra
Apr-25,482,400013,131,291,Mumbai,Maharashtra
Apr-25,482,400014,92,167,Mumbai,Maharashtra
Apr-25,482,400015,147,285,Mumbai,Maharashtra
Apr-25,482,400016,243,369,Mumbai,Maharashtra
Apr-25,482,400017,1023,1431,Mumbai,Maharashtra
Apr-25,482,400018,97,73,Mumbai,Maharashtra
Apr-25,482,400019,103,248,Mumbai,Maharashtra
Apr-25,482,400022,113,367,Mumbai,Maharashtra
Apr-25,482,400025,87,193,Mumbai,Maharashtra
Apr-25,482,400026,77,142,Mumbai,Maharashtra
Apr-25,482,400027,42,70,Mumbai,Maharashtra
Apr-25,482,400028,220,552,Mumbai,Maharashtra
Apr-25,482,400030,137,357,Mumbai,Maharashtra
Apr-25,482,400031,108,195,Mumbai,Maharashtra
Apr-25,482,400033,63,120,Mumbai,Maharashtra
Apr-25,482,400034,103,179,Mumbai,Maharashtra
Apr-25,482,400037,780,736,Mumbai,Maharashtra
Apr-25,483,400010,221,325,Mumbai Suburban,Maharashtra
Apr-25,483,400024,147,321,Mumbai Suburban,Maharashtra
Apr-25,483,400029,219,364,Mumbai Suburban,Maharashtra
Apr-25,483,400042,436,427,Mumbai Suburban,Maharashtra
Apr-25,483,400043,2436,3012,Mumbai Suburban,Maharashtra
Apr-25,483,400049,75,166,Mumbai Suburban,Maharashtra
Apr-25,483,400050,281,669,Mumbai Suburban,Maharashtra
Apr-25,483,400051,392,855,Mumbai Suburban,Maharashtra
Apr-25,483,400052,239,441,Mumbai Suburban,Maharashtra
Apr-25,483,400053,115,273,Mumbai Suburban,Maharashtra
Apr-25,483,400054,79,252,Mumbai Suburban,Maharashtra
Apr-25,483,400055,768,1521,Mumbai Suburban,Maharashtra
Apr-25,483,400056,209,388,Mumbai Suburban,Maharashtra
Apr-25,483,400057,129,193,Mumbai Suburban,Maharashtra
Apr-25,483,400058,184,157,Mumbai Suburban,Maharashtra
Apr-25,483,400059,319,536,Mumbai Suburban,Maharashtra
Apr-25,483,400060,556,1331,Mumbai Suburban,Maharashtra
Apr-25,483,400061,86,207,Mumbai Suburban,Maharashtra
Apr-25,483,400063,183,351,Mumbai Suburban,Maharashtra
Apr-25,483,400064,340,566,Mumbai Suburban,Maharashtra
Apr-25,483,400065,369,828,Mumbai Suburban,Maharashtra
Apr-25,483,400066,391,641,Mumbai Suburban,Maharashtra
Apr-25,483,400067,1031,2308,Mumbai Suburban,Maharashtra
Apr-25,483,400068,820,1293,Mumbai Suburban,Maharashtra
Apr-25,483,400069,170,172,Mumbai Suburban,Maharashtra
Apr-25,483,400070,740,1378,Mumbai Suburban,Maharashtra
Apr-25,483,400071,336,700,Mumbai Suburban,Maharashtra
Apr-25,483,400072,986,888,Mumbai Suburban,Maharashtra
Apr-25,483,400074,549,860,Mumbai Suburban,Maharashtra
Apr-25,483,400075,248,485,Mumbai Suburban,Maharashtra
Apr-25,483,400076,151,216,Mumbai Suburban,Maharashtra
Apr-25,483,400077,148,277,Mumbai Suburban,Maharashtra
Apr-25,483,400078,735,498,Mumbai Suburban,Maharashtra
Apr-25,483,400079,195,373,Mumbai Suburban,Maharashtra
Apr-25,483,400080,401,671,Mumbai Suburban,Maharashtra
Apr-25,483,400081,192,397,Mumbai Suburban,Maharashtra
Apr-25,483,400082,74,139,Mumbai Suburban,Maharashtra
Apr-25,483,400083,287,785,Mumbai Suburban,Maharashtra
Apr-25,483,400084,240,368,Mumbai Suburban,Maharashtra
Apr-25,483,400086,507,778,Mumbai Suburban,Maharashtra
Apr-25,483,400087,66,114,Mumbai Suburban,Maharashtra
Apr-25,483,400088,221,131,Mumbai Suburban,Maharashtra
Apr-25,483,400089,277,565,Mumbai Suburban,Maharashtra
Apr-25,483,400091,101,170,Mumbai Suburban,Maharashtra
Apr-25,483,400092,512,1024,Mumbai Suburban,Maharashtra
Apr-25,483,400093,294,492,Mumbai Suburban,Maharashtra
Apr-25,483,400094,95,84,Mumbai Suburban,Maharashtra
Apr-25,483,400095,771,1992,Mumbai Suburban,Maharashtra
Apr-25,483,400097,1546,2854,Mumbai Suburban,Maharashtra
Apr-25,483,400098,40,31,Mumbai Suburban,Maharashtra
Apr-25,483,400099,264,448,Mumbai Suburban,Maharashtra
Apr-25,483,400101,790,1533,Mumbai Suburban,Maharashtra
Apr-25,483,400102,310,596,Mumbai Suburban,Maharashtra
Apr-25,483,400103,96,204,Mumbai Suburban,Maharashtra
Apr-25,483,400104,679,909,Mumbai Suburban,Maharashtra
Apr-25,484,440001,90,206,Nagpur,Maharashtra
